Selected Underlying Medical Conditions of COVID-19-Associated Hospitalizations (data downloaded on 5/16/2020)
YEAR,CONDITION,CHILDREN,CHILDRENPERCENT,ADULTS,ADULTSPERCENT
2020,Asthma,6,25.0,447,12.9
2020,Cardiovascular disease,1,4.2,1212,35.2
2020,Chronic lung disease,0,0,753,21.9
2020,Immune suppression,0,0,353,10.3
2020,Metabolic disease,1,4.2,1442,41.8
2020,Neurologic disease,2,8.3,756,22.0
2020,Other disease,4,16.7,183,5.3
2020,No known condition,9,36.0,311,8.3
2020,Autoimmune disease ,0,0,101,2.9
2020,Obesity,7,58.3,1700,49.6
2020,Pregnancy,0,0,0,0
2020,Renal disease,0,0,548,15.9
2020,Gastrointestinal/liver disease,1,4.2,166,4.8
2020,Hypertension,1,4.2,2036,58.5
