Beds,State,County,Location
2166,South Carolina,Charleston,"Charleston, South Carolina"
943,South Carolina,Spartanburg,"Spartanburg, South Carolina"
1025,South Carolina,Florence,"Florence, South Carolina"
251,Washington,Chelan,"Chelan, Washington"
25,Virginia,Lexington,"Lexington, Virginia"
169,South Carolina,Oconee,"Oconee, South Carolina"
25,Washington,Ferry,"Ferry, Washington"
8,Ohio,Champaign,"Champaign, Ohio"
6814,Texas,Tarrant,"Tarrant, Texas"
9417,Texas,Dallas,"Dallas, Texas"
2623,Texas,Collin,"Collin, Texas"
2538,Washington,Pierce,"Pierce, Washington"
812,Virginia,Hampton,"Hampton, Virginia"
25,Virginia,Bath,"Bath, Virginia"
255,Virginia,Augusta,"Augusta, Virginia"
1881,Washington,Spokane,"Spokane, Washington"
1495,Ohio,Mahoning,"Mahoning, Ohio"
83,Tennessee,Unicoi,"Unicoi, Tennessee"
474,Washington,Thurston,"Thurston, Washington"
25,Washington,Columbia,"Columbia, Washington"
186,Washington,Grant,"Grant, Washington"
106,Washington,Franklin,"Franklin, Washington"
76,Washington,Island,"Island, Washington"
5461,Washington,King,"King, Washington"
58,Tennessee,Hardin,"Hardin, Tennessee"
2819,Ohio,Summit,"Summit, Ohio"
381,Washington,Kitsap,"Kitsap, Washington"
198,Ohio,Tuscarawas,"Tuscarawas, Ohio"
42,Washington,Klickitat,"Klickitat, Washington"
83,Idaho,Clearwater,"Clearwater, Idaho"
25,Idaho,Latah,"Latah, Idaho"
551,Oregon,Clackamas,"Clackamas, Oregon"
289,Oregon,Clatsop,"Clatsop, Oregon"
25,Idaho,Shoshone,"Shoshone, Idaho"
2788,New York,Erie,"Erie, New York"
19,Idaho,Benewah,"Benewah, Idaho"
869,Oregon,Washington,"Washington, Oregon"
49,Oregon,Wasco,"Wasco, Oregon"
57,Oregon,Wallowa,"Wallowa, Oregon"
1978,Oregon,Multnomah,"Multnomah, Oregon"
25,Oregon,Tillamook,"Tillamook, Oregon"
539,Oregon,Umatilla,"Umatilla, Oregon"
41,Idaho,Idaho,"Idaho, Idaho"
25,Idaho,Bonner,"Bonner, Idaho"
128,Oregon,Yamhill,"Yamhill, Oregon"
21,Oregon,Morrow,"Morrow, Oregon"
496,Oregon,Marion,"Marion, Oregon"
25,Idaho,Valley,"Valley, Idaho"
18,Idaho,Lemhi,"Lemhi, Idaho"
50,Oregon,Lincoln,"Lincoln, Oregon"
67,New York,Delaware,"Delaware, New York"
40,New York,Essex,"Essex, New York"
173,New York,Franklin,"Franklin, New York"
25,New York,Herkimer,"Herkimer, New York"
344,New York,Jefferson,"Jefferson, New York"
126,New York,Madison,"Madison, New York"
2009,New York,Monroe,"Monroe, New York"
4343,New York,Nassau,"Nassau, New York"
725,New York,Oneida,"Oneida, New York"
1672,New York,Onondaga,"Onondaga, New York"
399,New York,Ontario,"Ontario, New York"
902,New York,Orange,"Orange, New York"
120,Tennessee,Campbell,"Campbell, Tennessee"
25,Tennessee,Marshall,"Marshall, Tennessee"
16,South Dakota,Jerauld,"Jerauld, South Dakota"
50,South Dakota,Bon Homme,"Bon Homme, South Dakota"
2020,New Mexico,Bernalillo,"Bernalillo, New Mexico"
509,South Dakota,Pennington,"Pennington, South Dakota"
27,Utah,Sevier,"Sevier, Utah"
31,Utah,Tooele,"Tooele, Utah"
164,New York,Putnam,"Putnam, New York"
423,New York,Rensselaer,"Rensselaer, New York"
150,Kentucky,Harlan,"Harlan, Kentucky"
1169,New York,Rockland,"Rockland, New York"
465,Kentucky,Hardin,"Hardin, Kentucky"
319,New York,St. Lawrence,"St. Lawrence, New York"
1174,South Dakota,Minnehaha,"Minnehaha, South Dakota"
538,New York,Schenectady,"Schenectady, New York"
40,New York,Schoharie,"Schoharie, New York"
4613,Maryland,Baltimore City,"Baltimore City, Maryland"
25,New York,Schuyler,"Schuyler, New York"
1983,Maryland,Baltimore,"Baltimore, Maryland"
606,New Hampshire,Rockingham,"Rockingham, New Hampshire"
290,New Hampshire,Strafford,"Strafford, New Hampshire"
1164,New Hampshire,Hillsborough,"Hillsborough, New Hampshire"
395,New Hampshire,Merrimack,"Merrimack, New Hampshire"
2379,Kentucky,Fayette,"Fayette, Kentucky"
325,New York,Ulster,"Ulster, New York"
3235,New York,Westchester,"Westchester, New York"
107,Kentucky,Graves,"Graves, Kentucky"
25,New York,Yates,"Yates, New York"
3822,New York,Bronx,"Bronx, New York"
372,Maryland,Washington,"Washington, Maryland"
62,New York,Wyoming,"Wyoming, New York"
6166,New York,Kings,"Kings, New York"
11052,New York,New York,"New York, New York"
1187,New York,Richmond,"Richmond, New York"
3734,New York,Queens,"Queens, New York"
447,Illinois,Vermilion,"Vermilion, Illinois"
733,Kentucky,Warren,"Warren, Kentucky"
88,Michigan,Ogemaw,"Ogemaw, Michigan"
90,Kentucky,Letcher,"Letcher, Kentucky"
67,New York,Livingston,"Livingston, New York"
676,New York,Dutchess,"Dutchess, New York"
158,New York,Oswego,"Oswego, New York"
286,Illinois,Greene,"Greene, Illinois"
431,Illinois,Williamson,"Williamson, Illinois"
1112,New Jersey,Burlington,"Burlington, New Jersey"
214,New York,Steuben,"Steuben, New York"
3583,New York,Suffolk,"Suffolk, New York"
49,Illinois,Jersey,"Jersey, Illinois"
55,Maryland,Garrett,"Garrett, Maryland"
39,Texas,Chambers,"Chambers, Texas"
50,Texas,Runnels,"Runnels, Texas"
25,Texas,Burleson,"Burleson, Texas"
45,Texas,Hardeman,"Hardeman, Texas"
103,Texas,Colorado,"Colorado, Texas"
16,Texas,Concho,"Concho, Texas"
25,Texas,Parmer,"Parmer, Texas"
25,Texas,Sabine,"Sabine, Texas"
429,Texas,Cherokee,"Cherokee, Texas"
25,Texas,Lampasas,"Lampasas, Texas"
78,Texas,Cooke,"Cooke, Texas"
1122,Illinois,Peoria,"Peoria, Illinois"
12,Texas,Sutton,"Sutton, Texas"
18259,Illinois,Cook,"Cook, Illinois"
191,Illinois,Dekalb,"Dekalb, Illinois"
75,Kentucky,Scott,"Scott, Kentucky"
44,West Virginia,Hampshire,"Hampshire, West Virginia"
122,West Virginia,Greenbrier,"Greenbrier, West Virginia"
728,Kentucky,Kenton,"Kenton, Kentucky"
1051,West Virginia,Cabell,"Cabell, West Virginia"
650,West Virginia,Ohio,"Ohio, West Virginia"
313,West Virginia,Wood,"Wood, West Virginia"
70,West Virginia,Putnam,"Putnam, West Virginia"
455,Kentucky,Boyd,"Boyd, Kentucky"
58,Kentucky,Bourbon,"Bourbon, Kentucky"
201,Kentucky,Boone,"Boone, Kentucky"
818,Illinois,St. Clair,"St. Clair, Illinois"
100,Illinois,Stephenson,"Stephenson, Illinois"
150,Illinois,Tazewell,"Tazewell, Illinois"
152,Kentucky,Calloway,"Calloway, Kentucky"
40,Kentucky,Nelson,"Nelson, Kentucky"
25,Kentucky,Morgan,"Morgan, Kentucky"
4624,Oklahoma,Oklahoma,"Oklahoma, Oklahoma"
81,Oklahoma,Custer,"Custer, Oklahoma"
51,Oklahoma,Craig,"Craig, Oklahoma"
167,Oklahoma,Ottawa,"Ottawa, Oklahoma"
14,Oklahoma,Pawnee,"Pawnee, Oklahoma"
40,Oklahoma,Osage,"Osage, Oklahoma"
25,Oklahoma,Cimarron,"Cimarron, Oklahoma"
857,Oklahoma,Cleveland,"Cleveland, Oklahoma"
6,South Dakota,Kingsbury,"Kingsbury, South Dakota"
66,South Dakota,Lawrence,"Lawrence, South Dakota"
25,South Dakota,Meade,"Meade, South Dakota"
86,Illinois,Henry,"Henry, Illinois"
63,Illinois,Crawford,"Crawford, Illinois"
165,Illinois,Randolph,"Randolph, Illinois"
67,Illinois,Christian,"Christian, Illinois"
135,Illinois,Marion,"Marion, Illinois"
988,Alaska,Anchorage,"Anchorage, Alaska"
204,Alaska,Kenai Peninsula,"Kenai Peninsula, Alaska"
25,Alaska,Kodiak Island,"Kodiak Island, Alaska"
54,Alaska,Sitka,"Sitka, Alaska"
49,Alaska,Wrangell-Petersburg,"Wrangell-Petersburg, Alaska"
1381,New York,Albany,"Albany, New York"
76,New York,Allegany,"Allegany, New York"
436,Montana,Cascade,"Cascade, Montana"
125,Tennessee,Warren,"Warren, Tennessee"
25,Tennessee,Polk,"Polk, Tennessee"
34,Tennessee,Clay,"Clay, Tennessee"
12,Tennessee,Cheatham,"Cheatham, Tennessee"
5491,Tennessee,Shelby,"Shelby, Tennessee"
25,Tennessee,Scott,"Scott, Tennessee"
121,Tennessee,Carter,"Carter, Tennessee"
35,Tennessee,Smith,"Smith, Tennessee"
50,Tennessee,Loudon,"Loudon, Tennessee"
4489,Tennessee,Davidson,"Davidson, Tennessee"
1889,Tennessee,Hamilton,"Hamilton, Tennessee"
90,Tennessee,Lawrence,"Lawrence, Tennessee"
220,Tennessee,Coffee,"Coffee, Tennessee"
10,Tennessee,Fayette,"Fayette, Tennessee"
100,Tennessee,Tipton,"Tipton, Tennessee"
441,Tennessee,Sumner,"Sumner, Tennessee"
1175,Tennessee,Sullivan,"Sullivan, Tennessee"
50,Tennessee,Hawkins,"Hawkins, Tennessee"
140,Tennessee,Weakley,"Weakley, Tennessee"
60,Tennessee,White,"White, Tennessee"
90,Tennessee,Roane,"Roane, Tennessee"
488,Tennessee,Rutherford,"Rutherford, Tennessee"
174,Tennessee,Franklin,"Franklin, Tennessee"
132,Tennessee,Gibson,"Gibson, Tennessee"
95,Tennessee,Giles,"Giles, Tennessee"
54,Tennessee,Jefferson,"Jefferson, Tennessee"
25,Tennessee,Houston,"Houston, Tennessee"
25,Tennessee,Hickman,"Hickman, Tennessee"
240,Tennessee,Greene,"Greene, Tennessee"
2155,Tennessee,Knox,"Knox, Tennessee"
348,Tennessee,Bradley,"Bradley, Tennessee"
225,Tennessee,Williamson,"Williamson, Tennessee"
25,Tennessee,Humphreys,"Humphreys, Tennessee"
15,Kansas,Kiowa,"Kiowa, Kansas"
25,Kansas,Allen,"Allen, Kansas"
1611,Kansas,Johnson,"Johnson, Kansas"
105,Puerto Rico,Yauco,"Yauco, Puerto Rico"
109,Kansas,Riley,"Riley, Kansas"
99,Kansas,Clark,"Clark, Kansas"
61,Kansas,Decatur,"Decatur, Kansas"
194,Kansas,Miami,"Miami, Kansas"
25,Kansas,Osborne,"Osborne, Kansas"
768,Kansas,Shawnee,"Shawnee, Kansas"
69,Kansas,Hamilton,"Hamilton, Kansas"
26,Kansas,Grant,"Grant, Kansas"
62,Kansas,Trego,"Trego, Kansas"
50,Kansas,Washington,"Washington, Kansas"
1140,Kansas,Sedgwick,"Sedgwick, Kansas"
326,Puerto Rico,Arecibo,"Arecibo, Puerto Rico"
24,Puerto Rico,Lares,"Lares, Puerto Rico"
150,Puerto Rico,Manati,"Manati, Puerto Rico"
150,Puerto Rico,Vega Baja,"Vega Baja, Puerto Rico"
106,Puerto Rico,Moca,"Moca, Puerto Rico"
38,Puerto Rico,Arroyo,"Arroyo, Puerto Rico"
518,Puerto Rico,Ponce,"Ponce, Puerto Rico"
964,Puerto Rico,Bayamon,"Bayamon, Puerto Rico"
1999,Puerto Rico,San Juan,"San Juan, Puerto Rico"
158,Guam,Guam,"Guam, Guam"
100,Palau,Not Available,"Not Available, Palau"
1146,Texas,Potter,"Potter, Texas"
3904,Texas,Travis,"Travis, Texas"
95,Texas,Jones,"Jones, Texas"
184,Texas,Wise,"Wise, Texas"
45,Texas,Terry,"Terry, Texas"
1516,Texas,Denton,"Denton, Texas"
26,Texas,Hemphill,"Hemphill, Texas"
1009,Texas,Williamson,"Williamson, Texas"
49,Texas,Red River,"Red River, Texas"
137,Texas,Johnson,"Johnson, Texas"
136,Texas,Liberty,"Liberty, Texas"
271,Texas,Hunt,"Hunt, Texas"
1618,Florida,Sarasota,"Sarasota, Florida"
612,Florida,Indian River,"Indian River, Florida"
10243,Florida,Miami-Dade,"Miami-Dade, Florida"
93,Texas,Val Verde,"Val Verde, Texas"
4857,Florida,Hillsborough,"Hillsborough, Florida"
1051,Florida,Collier,"Collier, Florida"
602,Texas,Grayson,"Grayson, Texas"
385,Florida,Santa Rosa,"Santa Rosa, Florida"
4993,Florida,Palm Beach,"Palm Beach, Florida"
40,Texas,Frio,"Frio, Texas"
1765,Florida,Alachua,"Alachua, Florida"
6803,Florida,Broward,"Broward, Florida"
17,Texas,Castro,"Castro, Texas"
2386,Texas,Hidalgo,"Hidalgo, Texas"
210,Texas,Wharton,"Wharton, Texas"
2813,Texas,El Paso,"El Paso, Texas"
41,Texas,Pecos,"Pecos, Texas"
52,Texas,Van Zandt,"Van Zandt, Texas"
42,Texas,Hamilton,"Hamilton, Texas"
96,Texas,Rusk,"Rusk, Texas"
82,Texas,Deaf Smith,"Deaf Smith, Texas"
17209,Texas,Harris,"Harris, Texas"
407,Texas,Kaufman,"Kaufman, Texas"
470,Texas,Angelina,"Angelina, Texas"
44,Texas,Upton,"Upton, Texas"
25,Texas,Scurry,"Scurry, Texas"
43,Texas,Martin,"Martin, Texas"
841,Texas,Bowie,"Bowie, Texas"
658,Texas,Brazos,"Brazos, Texas"
2224,Texas,Nueces,"Nueces, Texas"
20,Texas,Stonewall,"Stonewall, Texas"
3357,Ohio,Lucas,"Lucas, Ohio"
6376,Ohio,Franklin,"Franklin, Ohio"
1530,Texas,Montgomery,"Montgomery, Texas"
614,Texas,Tom Green,"Tom Green, Texas"
265,Virginia,Hanover,"Hanover, Virginia"
281,Nebraska,Madison,"Madison, Nebraska"
