County,State,Lat,Long,Location
Abbeville,South Carolina,34.22333378,-82.46170658,"Abbeville, South Carolina"
Acadia,Louisiana,30.2950649,-92.41419698,"Acadia, Louisiana"
Accomack,Virginia,37.76707161,-75.63234615,"Accomack, Virginia"
Ada,Idaho,43.4526575,-116.2415516,"Ada, Idaho"
Adair,Iowa,41.33075609,-94.47105874,"Adair, Iowa"
Adair,Kentucky,37.10459774,-85.28129668,"Adair, Kentucky"
Adair,Missouri,40.19058551,-92.60078167,"Adair, Missouri"
Adair,Oklahoma,35.88494195,-94.65859267,"Adair, Oklahoma"
Adams,Colorado,39.87432092,-104.3362578,"Adams, Colorado"
Adams,Idaho,44.89333571,-116.4545247,"Adams, Idaho"
Adams,Illinois,39.98815591,-91.18786813,"Adams, Illinois"
Adams,Indiana,40.7457653,-84.93671406,"Adams, Indiana"
Adams,Iowa,41.02903567,-94.69932645,"Adams, Iowa"
Adams,Mississippi,31.47669768,-91.35326037,"Adams, Mississippi"
Adams,Nebraska,40.5244942,-98.50117804,"Adams, Nebraska"
Adams,North Dakota,46.09686891,-102.5285397,"Adams, North Dakota"
Adams,Ohio,38.84541072,-83.4718964,"Adams, Ohio"
Adams,Pennsylvania,39.87140411,-77.21610347,"Adams, Pennsylvania"
Adams,Washington,46.98299757,-118.5601734,"Adams, Washington"
Adams,Wisconsin,43.96974651,-89.76782777,"Adams, Wisconsin"
Addison,Vermont,44.03217337,-73.14130877,"Addison, Vermont"
Aiken,South Carolina,33.54338026,-81.63645384,"Aiken, South Carolina"
Aitkin,Minnesota,46.60962049,-93.4116826,"Aitkin, Minnesota"
Alachua,Florida,29.67866525,-82.35928158,"Alachua, Florida"
Alamance,North Carolina,36.0434701,-79.39976137,"Alamance, North Carolina"
Alameda,California,37.64629437,-121.8929271,"Alameda, California"
Alamosa,Colorado,37.57250606,-105.7885451,"Alamosa, Colorado"
Albany,New York,42.60060306,-73.97723916,"Albany, New York"
Albany,Wyoming,41.65498705,-105.7235415,"Albany, Wyoming"
Albemarle,Virginia,38.02080697,-78.55481085,"Albemarle, Virginia"
Alcona,Michigan,44.6846864,-83.59507875,"Alcona, Michigan"
Alcorn,Mississippi,34.88084463,-88.57996173,"Alcorn, Mississippi"
Aleutians East,Alaska,55.32222414,-161.9722021,"Aleutians East, Alaska"
Aleutians West,Alaska,52.72541116,-110.4086433,"Aleutians West, Alaska"
Alexander,Illinois,37.18049267,-89.32910838,"Alexander, Illinois"
Alexander,North Carolina,35.9223796,-81.17751948,"Alexander, North Carolina"
Alexandria,Virginia,38.814003,-77.08183073,"Alexandria, Virginia"
Alfalfa,Oklahoma,36.73090616,-98.32408495,"Alfalfa, Oklahoma"
Alger,Michigan,46.41292944,-86.60260122,"Alger, Michigan"
Allamakee,Iowa,43.28383218,-91.37860922,"Allamakee, Iowa"
Allegan,Michigan,42.59147037,-85.89102866,"Allegan, Michigan"
Allegany,Maryland,39.62357628,-78.69280486,"Allegany, Maryland"
Allegany,New York,42.25748406,-78.02750466,"Allegany, New York"
Alleghany,North Carolina,36.49360862,-81.12857041,"Alleghany, North Carolina"
Alleghany,Virginia,37.78636074,-80.00222498,"Alleghany, Virginia"
Allegheny,Pennsylvania,40.46809875,-79.98167747,"Allegheny, Pennsylvania"
Allen,Indiana,41.09194313,-85.06800636,"Allen, Indiana"
Allen,Kansas,37.88582951,-95.30030847,"Allen, Kansas"
Allen,Kentucky,36.75197631,-86.19457544,"Allen, Kentucky"
Allen,Louisiana,30.65385745,-92.82442028,"Allen, Louisiana"
Allen,Ohio,40.77285242,-84.10802343,"Allen, Ohio"
Allendale,South Carolina,32.98837386,-81.35321066,"Allendale, South Carolina"
Alpena,Michigan,45.03477666,-83.62212411,"Alpena, Michigan"
Alpine,California,38.59678594,-119.8223594,"Alpine, California"
Amador,California,38.44583082,-120.65696,"Amador, California"
Amelia,Virginia,37.34081025,-77.98584649,"Amelia, Virginia"
Amherst,Virginia,37.60308293,-79.14548696,"Amherst, Virginia"
Amite,Mississippi,31.17467303,-90.80501621,"Amite, Mississippi"
Anchorage,Alaska,61.14998174,-149.1426986,"Anchorage, Alaska"
Anderson,Kansas,38.21413251,-95.29272815,"Anderson, Kansas"
Anderson,Kentucky,38.00671029,-84.99171713,"Anderson, Kentucky"
Anderson,South Carolina,34.51828081,-82.63959517,"Anderson, South Carolina"
Anderson,Tennessee,36.12684348,-84.19965764,"Anderson, Tennessee"
Anderson,Texas,31.81534745,-95.65354823,"Anderson, Texas"
Andrew,Missouri,39.98492163,-94.80163024,"Andrew, Missouri"
Andrews,Texas,32.30468633,-102.6376548,"Andrews, Texas"
Androscoggin,Maine,44.1664747,-70.20380627,"Androscoggin, Maine"
Angelina,Texas,31.25457347,-94.60901487,"Angelina, Texas"
Anne Arundel,Maryland,39.00670238,-76.60329337,"Anne Arundel, Maryland"
Anoka,Minnesota,45.27476015,-93.24604565,"Anoka, Minnesota"
Anson,North Carolina,34.97403241,-80.09953279,"Anson, North Carolina"
Antelope,Nebraska,42.17695516,-98.0666283,"Antelope, Nebraska"
Antrim,Michigan,44.99690221,-85.15503082,"Antrim, Michigan"
Apache,Arizona,35.39465006,-109.4892383,"Apache, Arizona"
Appanoose,Iowa,40.74324454,-92.86865906,"Appanoose, Iowa"
Appling,Georgia,31.74847232,-82.28909114,"Appling, Georgia"
Appomattox,Virginia,37.37569884,-78.81340003,"Appomattox, Virginia"
Aransas,Texas,28.10556197,-96.9995047,"Aransas, Texas"
Arapahoe,Colorado,39.64977461,-104.3353617,"Arapahoe, Colorado"
Archer,Texas,33.61569967,-98.68754589,"Archer, Texas"
